id,complex
YDDQ-MONOMER,ABC-59-CPLX
YDDR-MONOMER,ABC-59-CPLX
YDEA-MONOMER,
YDEF-MONOMER,
YDEY-MONOMER,ABC-58-CPLX
YDEZ-MONOMER,ABC-58-CPLX
YDHC-MONOMER,
YDHE-MONOMER,
YDJE-MONOMER,
YEAV-MONOMER,
YEEF-MONOMER,
YEEO-MONOMER,
YEHW-MONOMER,ABC-40-CPLX
YEHY-MONOMER,ABC-40-CPLX
YEIJ-MONOMER,
YEIM-MONOMER,
YEJB-MONOMER,ABC-41-CPLX
YEJE-MONOMER,ABC-41-CPLX
YEJF-MONOMER,ABC-41-CPLX
YFEP-MONOMER,
YGFO-MONOMER,
YGFU-MONOMER,
YGGA-MONOMER,
YGJE-MONOMER,
YGJI-MONOMER,
YGJU-MONOMER,
YHAO-MONOMER,
YHBG-MONOMER,CPLX0-7992
YHCL-MONOMER,
YHDX-MONOMER,ABC-52-CPLX
YHDY-MONOMER,ABC-52-CPLX
YHFC-MONOMER,
YHFM-MONOMER,
YHHJ-MONOMER,
YHHO-MONOMER,
YHHS-MONOMER,
YHIH-MONOMER,
YHIP-MONOMER,
YHIV-MONOMER,TRANS-CPLX-204
YHJE-MONOMER,
YHJV-MONOMER,
YHJX-MONOMER,
YICE-MONOMER,
YICJ-MONOMER,
